product_name,brands,categories,energy_100g,saturated_fat_100g,sugars_100g,salt_100g,proteins_100g,fiber_100g,fvl_percent,nutri_score_value,nutri_score_label,green_score_value,green_score_label,url
Tomato Ketchup 910g,"Heinz, Fach 3","Condiments,Sauces,Tomato sauces,Ketchup,Tomato Ketchup,Groceries",435,0.1,22.8,1.8,1.2,0,54.6875,14,D,78,A,https://world.openfoodfacts.org/product/87157277
Pesto Classic Basil,Saclà,"Condiments, Sauces, Pasta sauces, Pestos, Green pestos",1590,5,3.5,2.65,4.9,2.3,46,21,E,39,D,https://world.openfoodfacts.org/product/8001060375109
Pesto con Basilico e Rucola,Barilla,"Gewürzmittel,Saucen,Nudelsoßen,Pestos,en:Cooking Sauces,Pesto alla Genovese,en:groceries",1833,5,4.9,3,4.5,1.8,34.71875,24,E,56,C,https://world.openfoodfacts.org/product/8076809545396
Salsa de Soja,Kikkoman,"Condiments, Sauces, Sauces au soja",325,0,0.6,17.1,10,0,18.75,20,E,89,A,https://world.openfoodfacts.org/product/8715035110304
AMORA Ketchup Flacon Souple 550g,Amora,"Condiments, Sauces, Sauces tomate, Ketchup",414,0.1,21,2,1.2,0.5,76,14,D,74,B,https://world.openfoodfacts.org/product/8712100751370
Panzani - spf - sauce pesto vert 200g,Panzani,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Condiments,Plantes condimentaires,en:Herbs and spices,Plantes aromatiques,Herbes aromatiques,Sauces,Sauces pour pâtes,Sauces Pesto,Basilic,en:Cooking Sauces,Pestos au basilic,Pesto Vert",1360,4.5,3.5,2.8,3.8,1.8,41.25,21,E,46,C,https://world.openfoodfacts.org/product/3038354199603
Tiptree tomato ketchup,Wilkin & Sons,"Condiments, Sauces, Tomato sauces, Ketchup, Tomato Ketchup, Groceries",695,0,37,0.003,1.8,0,63.54166667,10,C,85,A,https://world.openfoodfacts.org/product/0043647868039
Heinz Baked Beans,Heinz,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Canned foods, Condiments, Legumes, Seeds, Canned plant-based foods, Legume seeds, Pulses, Common beans, Prepared vegetables, Sauces, Baked beans in tomato sauce, Canned legumes, Tomato sauces, White beans, Canned common beans, Groceries",339,0.0482,4.29,0.616,4.82,3.86,93.46628906,-3,B,82,A,https://world.openfoodfacts.org/product/5000157024886
Organic Houmous,Tesco,"Plant-based foods and beverages,Plant-based foods,Condiments,Spreads,Plant-based spreads,Salted spreads,Sauces,Dips,Hummus,Classic hummus",887,1.8,0.6,0.74,6.6,4,60.9,1,B,78,A,https://world.openfoodfacts.org/product/10066980
"Ketchup zéro sel ajouré, 70% moins de sucres",HEINZ,"Condiments,Ketchup",185,0,4.4,0.05,1.6,0,63.28125,-1,A,78,A,https://world.openfoodfacts.org/product/8715700112596
